median_mvt_ms,mvt_err_upper,sigma,bin_width_ms,mvt_err_lower
59.346,0.031,100.0,10.0,0.043
74.82,0.05,100.0,1.0,0.053
74.582,0.0552,100.0,5.0,0.0642
76.652,0.0632,100.0,0.5,0.068
215.067,0.084,300.0,2.0,0.1162
74.692,0.061,100.0,2.0,0.0652
217.261,0.0926,300.0,1.0,0.1156
30.0,223.8866,300.0,10.0,9.6249
72.1635,0.0507,100.0,0.2,0.0538
224.047,0.09,300.0,5.0,0.1188
215.378,0.085,300.0,0.5,0.112
72.745,0.0571,100.0,0.1,0.0581
748.08,0.1471,1000.0,10.0,0.1889
766.464,0.203,1000.0,5.0,0.2135
721.7155,0.155,1000.0,2.0,0.1836
727.599,0.181,1000.0,1.0,0.1904
205.5025,0.0865,300.0,0.2,0.105
72.6075,0.0554,100.0,0.05,0.0545
726.248,0.1736,1000.0,0.5,0.191
205.9345,0.0876,300.0,0.1,0.1096
69.233,0.048,100.0,0.02,0.0519
692.4925,0.1602,1000.0,0.2,0.1839
205.898,0.0886,300.0,0.05,0.106
69.202,0.0489,100.0,0.01,0.053
692.2005,0.1693,1000.0,0.1,0.1839
231.6895,0.0915,300.0,0.02,0.1211
692.288,0.1637,1000.0,0.05,0.1888
231.655,0.0939,300.0,0.01,0.1223
778.961,0.1939,1000.0,0.02,0.2224
778.969,0.194,1000.0,0.01,0.2289
9.3525,0.7825,10.0,0.2,0.0397
21.755,0.0362,30.0,0.1,0.035
8.542,0.018,10.0,0.05,0.022
12.758,0.038,10.0,0.5,0.039
21.611,0.0332,30.0,0.2,0.0322
9.022,0.0232,10.0,0.1,0.0273
22.77,0.035,30.0,0.5,0.039
28.5725,0.0357,30.0,1.0,0.0425
21.538,0.034,30.0,0.05,0.0332
7.283,0.023,10.0,0.01,0.03
13.66,0.0252,10.0,1.0,0.028
7.2485,0.0225,10.0,0.02,0.0285
20.541,0.0336,30.0,0.02,0.032
7.261,0.022,10.0,0.005,0.027
20.581,0.035,30.0,0.01,0.033
6.919,0.0223,10.0,0.002,0.029
20.5765,0.0335,30.0,0.005,0.0345
6.914,0.023,10.0,0.001,0.0282
23.148,0.0342,30.0,0.002,0.035
23.1435,0.0355,30.0,0.001,0.0345
2.629,0.01,1.0,0.05,0.008
3.5035,0.0044,1.0,0.1,0.0044
0.597,0.005,0.3,0.002,0.005
-100.0,0.0,0.1,0.005,0.0
0.856,0.004,0.3,0.005,0.003
-100.0,0.0,0.3,0.01,0.0
2.067,0.009,1.0,0.02,0.009
-100.0,0.0,0.1,0.01,0.0
0.181,0.0022,0.1,0.0005,0.003
1.546,0.0102,1.0,0.01,0.0092
0.259,0.025,0.1,0.002,0.002
-100.0,0.0,0.3,0.02,0.0
0.22,0.024,0.1,0.001,0.011
0.502,0.006,0.3,0.001,0.0592
1.295,0.009,1.0,0.005,0.01
1.037,0.008,1.0,0.002,0.064
0.144,0.003,0.1,0.0002,0.0042
0.379,0.0302,0.3,0.0005,0.011
0.875,0.092,1.0,0.001,0.014
0.122,0.003,0.1,0.0001,0.019
0.3005,0.0475,0.3,0.0002,0.0075
0.861,0.013,1.0,0.0005,0.138
3.841,0.0172,3.0,0.05,0.02
3.415,0.0112,3.0,0.02,0.3092
4.57,0.0172,3.0,0.1,0.019
2.5735,0.0147,3.0,0.005,0.3925
2.62,0.255,3.0,0.01,0.019
2.066,0.379,3.0,0.002,0.027
0.291,0.007,0.3,0.0001,0.047
2.063,0.3794,3.0,0.001,0.03
0.8195,0.0125,1.0,0.0002,0.1365
2.06,0.38,3.0,0.0005,0.0302
0.817,0.012,1.0,0.0001,0.139
2.309,0.0186,3.0,0.0002,0.381
2.309,0.017,3.0,0.0001,0.3828
