sim_type,pulse_shape,bin_width_ms,peak_amplitude,position,angle,trigger,sim_det,base_det,analysis_det,num_analysis_det,background_level,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,gaussian,0.0001,0.2,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.354,1.2981,1.8376,0.15,0.05,-999,-999,-999,-999,1220.0,-999.0,-999,0.17,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,20.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,68,232,0.292,0.0883,0.099,1.023,0.73,1.975,7.34,0.03,-999,-999,-999,-999,885.29,9.42,-999,inf,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,2.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.611,1.6186,2.5118,1.0,0.05,-999,-999,-999,-999,1133.33,-999.0,-999,1.45,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.1,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.302,1.4806,1.6898,0.0,0.05,-999,-999,-999,-999,1231.58,-999.0,-999,0.0,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.5,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.455,1.5923,2.1081,0.28,0.06,-999,-999,-999,-999,1211.11,-999.0,-999,0.32,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,5.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.248,1.2102,1.9744,2.66,0.07,-999,-999,-999,-999,1000.0,-999.0,-999,3.69,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.3,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.479,1.4479,1.9362,0.16,0.05,-999,-999,-999,-999,1242.11,-999.0,-999,0.18,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,3.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,2.484,1.0107,1.9649,1.56,0.0,-999,-999,-999,-999,960.0,-999.0,-999,2.3,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,1.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,1.8685,0.8431,2.8907,0.6,0.0,-999,-999,-999,-999,1130.0,-999.0,-999,0.76,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,10.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,9,291,0.329,0.0544,0.1809,1.9095,1.1712,2.2536,5.89,0.0,-999,-999,-999,-999,800.0,5.3,-999,9.33,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,50.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,246,54,0.2285,0.0643,0.0515,0.2375,0.0685,0.1551,13.21,0.09,-999,-999,-999,-999,974.8,18.19,-999,inf,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
