sim_type,pulse_shape,bin_width_ms,peak_amplitude,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,MVT_snr,sigma
function,gaussian,0.3,1,300,57,243,31.223,13.1748,44.1092,8.51,10.00
function,gaussian,0.03,1,300,48,252,31.725,8.7365,48.9677,8.77,10.00
function,gaussian,0.3,3,300,270,30,15.554,4.4525,3.219,13.36,10.00
function,gaussian,1.0,3,300,241,59,34.799,11.0586,3.664,22.48,30.00
function,gaussian,1.0,10,300,299,1,12.423,0.3828,2.2296,33.53,10.00
function,gaussian,0.1,1,300,48,252,31.6905,8.8847,56.2822,8.74,10.00
function,gaussian,0.3,3,300,228,72,32.312,9.4083,6.8,21.34,30.00
function,gaussian,0.1,3,300,248,52,14.928,4.2872,3.2874,14.06,10.00
function,gaussian,1.0,3,300,287,13,14.748,2.6939,5.0679,13.27,10.00
function,gaussian,1.0,1,300,176,124,60.6455,24.0965,25.8605,14.17,30.00
function,gaussian,0.3,1,300,178,122,61.174,23.2142,18.9366,13.91,30.00
function,gaussian,0.1,3,300,232,68,31.25,7.1711,6.9634,20.7,30.00
function,gaussian,0.3,10,300,297,3,11.321,1.4686,2.0588,32.56,10.00
function,gaussian,0.03,3,300,240,60,14.994,4.501,3.416,14.23,10.00
function,gaussian,0.1,1,300,176,124,60.039,22.75,24.272,14.29,30.00
function,gaussian,1.0,1,300,55,245,29.407,11.6574,37.5544,9.39,10.00
function,gaussian,0.03,1,300,174,126,59.835,22.2243,25.1583,14.27,30.00
function,gaussian,0.03,3,300,228,72,31.415,9.4007,6.5995,20.88,30.00
function,gaussian,0.01,1,300,53,247,32.979,13.3336,44.2278,9.6,10.00
function,gaussian,0.01,3,300,237,63,14.47,4.1014,5.2486,13.78,10.00
function,gaussian,1.0,10,300,254,46,25.9195,5.5463,5.1148,52.21,30.00
function,gaussian,0.03,10,300,244,56,10.7405,3.1047,0.4446,33.63,10.00
function,gaussian,0.1,10,300,261,39,10.757,2.839,1.389,33.29,10.00
function,gaussian,0.1,30,300,287,13,9.038,1.6752,1.108,89.42,10.00
function,gaussian,1.0,30,300,300,0,12.621,0.384,1.131,98.08,10.00
function,gaussian,0.1,10,300,226,74,25.6755,8.0715,4.8195,52.67,30.00
function,gaussian,0.3,10,300,242,58,26.4255,7.9464,1.2133,54.34,30.00
function,gaussian,0.3,30,300,300,0,11.3125,0.7699,0.1935,89.45,10.00
function,gaussian,0.03,30,300,257,43,9.101,2.6864,0.2553,89.86,10.00
function,gaussian,1.0,30,300,296,4,25.8765,0.8591,2.7903,144.05,30.00
function,gaussian,0.01,10,300,233,67,10.313,2.9081,1.9017,32.85,10.00
function,gaussian,0.03,10,300,221,79,25.89,8.5842,3.2776,52.03,30.00
function,gaussian,0.01,30,300,232,68,8.659,2.6271,1.0454,85.42,10.00
function,gaussian,0.1,30,300,232,68,25.391,4.2533,0.3963,151.55,30.00
function,gaussian,0.3,30,300,280,20,22.6335,3.5999,4.2849,139.04,30.00
function,gaussian,0.3,100,300,300,0,11.3225,0.6375,1.2625,286.34,10.00
function,gaussian,1.0,100,300,300,0,13.618,1.1003,0.0662,336.99,10.00
function,gaussian,0.1,100,300,300,0,9.002,1.385,0.091,287.65,10.00
function,gaussian,0.01,3,300,218,82,33.9205,10.2975,6.9601,21.27,30.00
function,gaussian,0.01,1,300,173,127,58.49,19.7107,24.7234,13.35,30.00
function,gaussian,0.03,100,300,289,11,7.741,0.158,0.8639,267.76,10.00
function,gaussian,0.03,30,300,216,84,21.9865,4.0005,4.0151,137.3,30.00
function,gaussian,0.01,100,300,240,60,7.3505,0.2086,1.3165,256.77,10.00
function,gaussian,0.003,3,300,235,65,14.631,4.2743,5.1306,13.28,10.00
function,gaussian,0.003,1,300,50,250,31.9695,12.2844,51.4269,9.02,10.00
function,gaussian,1.0,100,300,300,0,28.509,0.5619,0.1122,510.5,30.00
function,gaussian,0.3,100,300,300,0,22.563,0.1892,0.167,458.53,30.00
function,gaussian,0.1,100,300,270,30,21.742,0.288,3.801,461.27,30.00
function,gaussian,1.0,300,300,300,0,13.652,0.066,0.0372,990.17,10.00
function,gaussian,0.01,10,300,220,80,24.4965,7.9782,4.7811,52.65,30.00
function,gaussian,0.3,300,300,300,0,11.3375,0.0775,1.2307,840.88,10.00
function,gaussian,0.03,100,300,240,60,21.7935,0.2761,0.1761,459.98,30.00
function,gaussian,0.1,300,300,300,0,9.015,0.0662,0.043,861.89,10.00
function,gaussian,0.03,300,300,299,1,7.72,0.067,0.0553,807.64,10.00
function,gaussian,0.003,10,300,230,70,10.3695,2.9286,1.8408,32.18,10.00
function,gaussian,0.003,30,300,225,75,8.674,2.6878,1.0983,86.22,10.00
function,gaussian,1.0,300,300,300,0,28.5575,0.0678,0.0695,1507.64,30.00
function,gaussian,0.01,300,300,275,25,7.276,0.082,0.0573,784.07,10.00
function,gaussian,0.3,300,300,300,0,22.5975,0.0775,0.0607,1356.14,30.00
function,gaussian,0.1,300,300,298,2,21.7345,0.086,2.2905,1373.09,30.00
function,gaussian,0.01,30,300,209,91,24.27,6.5015,0.3717,142.79,30.00
function,gaussian,1.0,1000,300,300,0,13.66,0.028,0.0252,3281.58,10.00
function,gaussian,0.03,300,300,270,30,21.813,0.0879,0.07,1368.67,30.00
function,gaussian,0.3,1000,300,300,0,11.3485,0.0355,1.2117,2793.7,10.00
function,gaussian,0.1,1000,300,300,0,9.022,0.0273,0.0232,2879.67,10.00
function,gaussian,0.003,100,300,219,81,7.367,0.3054,1.349,259.06,10.00
function,gaussian,0.03,1000,300,300,0,7.724,0.028,0.022,2684.0,10.00
function,gaussian,0.01,100,300,224,76,20.5805,0.315,3.8148,449.04,30.00
function,gaussian,1.0,1000,300,300,0,28.5725,0.0425,0.0357,5002.04,30.00
function,gaussian,0.01,1000,300,300,0,7.283,0.03,0.023,2603.02,10.00
function,gaussian,0.3,1000,300,300,0,22.618,0.033,0.0302,4488.87,30.00
function,gaussian,0.1,1000,300,300,0,21.755,0.035,0.0362,4566.41,30.00
function,gaussian,0.03,1000,300,298,2,21.813,0.031,0.036,4552.81,30.00
function,gaussian,0.003,300,300,240,60,7.319,0.0988,0.06,762.69,10.00
function,gaussian,0.01,300,300,238,62,20.563,0.091,0.0784,1337.97,30.00
function,gaussian,0.003,1000,300,273,27,7.32,0.026,0.023,2532.71,10.00
function,gaussian,0.01,1000,300,261,39,20.581,0.033,0.035,4447.85,30.00
function,gaussian,0.001,1,300,50,250,32.02,9.6676,47.4999,9.06,10.00
function,gaussian,0.003,1,300,175,125,58.566,19.7583,23.7433,13.42,30.00
function,gaussian,0.001,3,300,230,70,14.291,4.1615,4.8004,14.21,10.00
function,gaussian,0.003,3,300,216,84,34.2,10.399,7.0188,21.24,30.00
function,gaussian,0.001,10,300,229,71,9.864,2.7451,1.8416,32.88,10.00
function,gaussian,0.001,30,300,216,84,8.3025,1.6409,1.5405,82.9,10.00
function,gaussian,0.003,10,300,219,81,24.745,8.2378,4.8299,52.53,30.00
function,gaussian,0.003,30,300,201,99,24.474,7.489,0.361,148.48,30.00
function,gaussian,0.001,100,300,214,86,6.9975,0.2371,1.2604,259.85,10.00
function,gaussian,0.003,100,300,211,89,20.749,0.316,3.836,436.71,30.00
function,gaussian,0.001,300,300,224,76,6.9175,0.0995,1.2805,745.26,10.00
function,gaussian,0.003,300,300,221,79,20.74,0.0946,0.074,1303.83,30.00
function,gaussian,0.001,1000,300,225,75,6.914,0.0282,0.023,2479.8,10.00
function,gaussian,0.003,1000,300,233,67,20.75,0.0338,0.034,4326.93,30.00
function,gaussian,0.001,3,300,218,82,32.863,10.025,6.7542,21.31,30.00
function,gaussian,0.001,1,300,178,122,59.772,21.0795,27.185,14.26,30.00
function,gaussian,0.001,30,300,200,100,23.213,4.1939,2.3472,143.77,30.00
function,gaussian,0.001,10,300,216,84,23.5065,7.3655,4.6541,50.6,30.00
function,gaussian,0.001,100,300,203,97,23.092,3.853,0.1537,473.74,30.00
function,gaussian,0.001,300,300,212,88,23.1355,3.5845,0.064,1408.26,30.00
function,gaussian,0.001,1000,300,220,80,23.1435,0.0345,0.0355,4682.52,30.00
function,gaussian,0.03,30,300,298,2,2.2705,0.076,0.097,28.1,1.000
function,gaussian,0.1,3,300,164,136,6.5615,1.527,3.9819,8.71,3.000
function,gaussian,0.03,300,300,300,0,2.2235,0.0137,0.0175,328.31,1.000
function,gaussian,0.01,100,300,300,0,1.5465,0.0327,0.1645,99.66,1.000
function,gaussian,0.03,30,300,299,1,3.656,0.4333,0.3003,55.15,3.000
function,gaussian,0.1,300,300,300,0,6.011,0.437,0.0562,667.37,5.000
function,gaussian,0.1,30,300,56,244,3.5895,0.0575,0.4237,24.72,1.000
function,gaussian,0.03,10,300,249,51,2.346,0.138,0.3628,13.38,1.000
function,gaussian,0.1,1,300,10,290,13.304,7.2166,18.6722,5.96,3.000
function,gaussian,0.03,10,300,274,26,4.512,0.8021,0.857,20.92,3.000
function,gaussian,0.1,3,300,227,73,8.902,1.8174,3.5454,9.63,5.000
function,gaussian,0.03,3,300,218,82,8.83,2.1367,3.47,9.89,5.000
function,gaussian,0.1,300,300,16,284,3.512,0.0126,0.0152,260.18,1.000
function,gaussian,0.03,100,300,300,0,4.666,0.1092,0.481,204.87,5.000
function,gaussian,0.1,30,300,300,0,4.5935,0.1235,0.6497,57.93,3.000
function,gaussian,0.1,100,300,28,272,3.5335,0.0219,0.0272,79.36,1.000
function,gaussian,0.03,1,300,12,288,12.8235,6.6219,24.8747,5.73,3.000
function,gaussian,0.03,3,300,28,272,3.787,1.3916,6.5211,5.66,1.000
function,gaussian,0.01,300,300,300,0,2.615,0.0412,0.2662,470.0,3.000
function,gaussian,0.01,3,300,33,267,4.293,2.1229,5.6978,5.21,1.000
function,gaussian,0.1,100,300,300,0,4.5635,0.0527,0.0567,194.24,3.000
function,gaussian,0.1,300,300,300,0,4.5675,0.0285,0.0305,579.57,3.000
function,gaussian,0.1,10,300,61,239,3.741,0.1274,0.573,13.32,1.000
function,gaussian,0.01,10,300,259,41,2.054,0.4944,0.4283,11.76,1.000
function,gaussian,0.01,1,300,7,293,10.262,3.3981,6.444,4.59,1.000
function,gaussian,0.03,3,300,158,142,6.451,1.9793,4.0956,8.7,3.000
function,gaussian,0.01,100,300,298,2,2.6385,0.0959,0.4455,157.49,3.000
function,gaussian,0.03,10,300,268,32,6.4195,1.1755,1.1348,25.8,5.000
function,gaussian,0.03,1,300,7,293,10.288,3.0014,7.2248,4.6,1.000
function,gaussian,0.1,1,300,6,294,11.328,2.2596,6.032,4.75,1.000
function,gaussian,0.1,10,300,300,0,5.172,0.7342,0.7926,22.1,3.000
function,gaussian,0.01,1,300,12,288,14.357,7.537,13.3824,5.89,3.000
function,gaussian,0.1,10,300,287,13,6.445,0.9876,1.115,25.65,5.000
function,gaussian,0.01,30,300,300,0,1.7445,0.2467,0.0717,34.53,1.000
function,gaussian,0.01,30,300,278,22,3.091,0.4824,0.594,50.16,3.000
function,gaussian,0.1,3,300,15,285,5.994,1.6128,5.8371,5.24,1.000
function,gaussian,0.1,100,300,300,0,6.0465,0.0628,0.0455,230.41,5.000
function,gaussian,0.01,10,300,255,45,4.244,1.0734,0.8477,20.35,3.000
function,gaussian,0.1,1,300,29,271,20.706,10.1678,22.4781,6.79,5.000
function,gaussian,0.1,30,300,300,0,6.0675,0.1177,0.3925,71.42,5.000
function,gaussian,0.03,1,300,28,272,21.155,12.464,21.4335,6.92,5.000
function,gaussian,0.03,300,300,300,0,4.654,0.0432,0.4792,603.32,5.000
function,gaussian,0.01,300,300,300,0,1.545,0.019,0.154,302.56,1.000
function,gaussian,0.03,100,300,300,0,2.2335,0.0237,0.0615,103.94,1.000
function,gaussian,0.03,100,300,300,0,3.339,0.0553,0.052,174.32,3.000
function,gaussian,0.003,3,300,37,263,4.346,2.1734,5.4818,5.38,1.000
function,gaussian,0.03,300,300,300,0,3.339,0.0303,0.031,521.13,3.000
function,gaussian,0.03,30,300,288,12,4.801,0.3322,0.8214,61.65,5.000
function,gaussian,0.003,300,300,300,0,1.106,0.0182,0.02,300.7,1.000
function,gaussian,0.003,30,300,281,19,1.497,0.3688,0.277,33.59,1.000
function,gaussian,0.003,10,300,242,58,1.8715,0.3981,0.3815,12.85,1.000
function,gaussian,0.003,1,300,8,292,8.5575,6.5953,7.7059,4.4,1.000
function,gaussian,0.01,100,300,270,30,4.3195,0.8291,0.0814,193.31,5.000
function,gaussian,0.003,100,300,299,1,1.109,0.0453,0.195,100.0,1.000
function,gaussian,0.01,3,300,151,149,6.304,2.067,3.553,7.86,3.000
function,gaussian,0.01,3,300,215,85,8.512,2.3332,3.429,10.5,5.000
function,gaussian,0.01,30,300,258,42,4.898,0.7484,0.8568,65.55,5.000
function,gaussian,0.01,10,300,260,40,6.059,1.6482,1.1801,25.28,5.000
function,gaussian,0.01,1,300,31,269,19.346,9.636,18.093,7.2,5.000
function,gaussian,0.01,300,300,299,1,3.656,0.068,0.676,543.6,5.000
function,gaussian,0.003,30,300,266,34,3.084,0.578,0.6176,50.75,3.000
function,gaussian,0.001,30,300,261,39,1.429,0.2594,0.2744,33.68,1.000
function,gaussian,0.003,100,300,259,41,2.607,0.4686,0.316,155.0,3.000
function,gaussian,0.001,300,300,291,9,0.878,0.1396,0.157,272.07,1.000
function,gaussian,0.003,300,300,282,18,2.583,0.428,0.031,440.61,3.000
function,gaussian,0.001,1,300,8,292,9.946,7.656,6.173,4.6,1.000
function,gaussian,0.003,3,300,150,150,6.2335,1.9413,3.5405,7.67,3.000
function,gaussian,0.001,100,300,274,26,1.044,0.1843,0.1843,92.71,1.000
function,gaussian,0.003,10,300,235,65,4.261,1.1855,0.8447,20.63,3.000
function,gaussian,0.003,1,300,12,288,9.389,2.7263,18.4749,5.27,3.000
function,gaussian,0.001,10,300,237,63,1.801,0.403,0.5486,11.72,1.000
function,gaussian,0.001,3,300,39,261,3.389,1.3734,6.0484,5.57,1.000
function,gaussian,0.003,300,300,261,39,3.673,0.6482,0.417,539.53,5.000
function,gaussian,0.003,3,300,211,89,8.506,2.35,3.466,10.46,5.000
function,gaussian,0.003,30,300,244,56,4.4735,0.8882,0.8301,60.7,5.000
function,gaussian,0.003,1,300,29,271,20.943,11.8233,17.7066,6.81,5.000
function,gaussian,0.003,100,300,237,63,4.351,0.7832,0.078,201.07,5.000
function,gaussian,0.003,10,300,248,52,6.0575,1.7589,1.1819,25.28,5.000
function,gaussian,0.001,10,300,233,67,4.069,1.135,0.79,20.24,3.000
function,gaussian,0.001,30,300,252,48,2.9485,0.5742,0.5705,50.53,3.000
function,gaussian,0.001,300,300,243,57,2.437,0.427,0.0333,451.45,3.000
function,gaussian,0.001,3,300,140,160,5.959,1.8293,3.5718,8.61,3.000
function,gaussian,0.001,100,300,229,71,2.485,0.4771,0.4505,149.4,3.000
function,gaussian,0.001,1,300,11,289,15.945,9.6492,22.5122,6.14,3.000
function,gaussian,0.0003,1,300,9,291,10.016,6.8981,6.5498,4.62,1.000
function,gaussian,0.0003,10,300,231,69,1.772,0.4856,0.5816,11.65,1.000
function,gaussian,0.0003,30,300,247,53,1.422,0.3926,0.2763,33.55,1.000
function,gaussian,0.0003,100,300,254,46,1.0435,0.1975,0.1676,92.63,1.000
function,gaussian,0.0003,300,300,262,38,0.8735,0.1627,0.1075,272.08,1.000
function,gaussian,0.0003,3,300,43,257,3.391,1.4575,6.1505,5.57,1.000
function,gaussian,0.001,3,300,214,86,8.3275,2.3892,3.1643,9.56,5.000
function,gaussian,0.001,10,300,242,58,5.8125,1.5362,1.1694,24.89,5.000
function,gaussian,0.001,100,300,225,75,4.122,0.82,0.482,194.37,5.000
function,gaussian,0.001,1,300,33,267,19.895,10.2152,18.4704,7.08,5.000
function,gaussian,0.001,300,300,227,73,3.483,0.095,0.6437,537.48,5.000
function,gaussian,0.001,30,300,235,65,4.872,1.3231,0.6184,64.94,5.000
function,gaussian,0.0003,3,300,144,156,6.09,1.9641,3.5806,8.3,3.000
function,gaussian,0.0001,1,300,9,291,10.473,7.7779,5.7162,4.63,1.000
function,gaussian,0.0003,300,300,223,77,2.442,0.4284,0.043,454.82,3.000
function,gaussian,0.0001,3,300,47,253,3.148,1.2222,5.8677,4.94,1.000
function,gaussian,0.0003,100,300,231,69,2.49,0.753,0.463,148.49,3.000
function,gaussian,0.0003,1,300,11,289,16.132,9.7452,22.4268,6.17,3.000
function,gaussian,0.0003,10,300,230,70,4.0955,1.1799,0.7965,19.81,3.000
function,gaussian,0.0001,10,300,227,73,1.877,0.5144,0.4045,12.69,1.000
function,gaussian,0.0003,30,300,248,52,2.9435,0.68,0.611,50.5,3.000
function,gaussian,0.0001,100,300,248,52,0.9875,0.1949,0.18,93.9,1.000
function,gaussian,0.0001,300,300,235,65,0.831,0.1616,0.156,255.99,1.000
function,gaussian,0.0001,30,300,248,52,1.367,0.257,0.266,32.1,1.000
function,gaussian,0.1,1000,300,300,0,5.593,0.025,0.024,2201.88,5.000
function,gaussian,0.03,1000,300,300,0,3.3465,0.0215,0.0155,1723.26,3.000
function,gaussian,0.03,1000,300,300,0,4.665,0.026,0.4632,2037.49,5.000
function,gaussian,0.1,2000,300,300,0,5.593,0.018,0.018,4400.51,5.000
function,gaussian,0.1,1000,300,2,298,3.5035,0.0044,0.0044,895.08,1.000
function,gaussian,0.01,1000,300,300,0,1.546,0.0092,0.0102,999.46,1.000
function,gaussian,0.1,2000,300,300,0,4.571,0.014,0.013,3855.03,3.000
function,gaussian,0.03,2000,300,300,0,2.222,0.006,0.006,2200.16,1.000
function,gaussian,0.1,2000,300,0,300,-100,0,0,-999,1.000
function,gaussian,0.1,1000,300,300,0,4.57,0.019,0.0172,1924.13,3.000
function,gaussian,0.003,2000,300,300,0,1.109,0.008,0.006,2015.07,1.000
function,gaussian,0.03,2000,300,300,0,4.667,0.014,0.461,4081.48,5.000
function,gaussian,0.01,1000,300,300,0,2.62,0.019,0.255,1565.92,3.000
function,gaussian,0.003,1000,300,300,0,1.107,0.01,0.009,1003.65,1.000
