MVT_snr,median_mvt_ms,sigma,bin_width_ms,mvt_err_upper,mvt_err_lower
8.51,31.223,0.01,0.3,44.1092,13.1748
8.77,31.725,0.01,0.03,48.9677,8.7365
13.36,15.554,0.01,0.3,3.219,4.4525
22.48,34.799,0.03,1.0,3.664,11.0586
33.53,12.423,0.01,1.0,2.2296,0.3828
8.74,31.6905,0.01,0.1,56.2822,8.8847
21.34,32.312,0.03,0.3,6.8,9.4083
14.06,14.928,0.01,0.1,3.2874,4.2872
13.27,14.748,0.01,1.0,5.0679,2.6939
14.17,60.6455,0.03,1.0,25.8605,24.0965
13.91,61.174,0.03,0.3,18.9366,23.2142
20.7,31.25,0.03,0.1,6.9634,7.1711
32.56,11.321,0.01,0.3,2.0588,1.4686
14.23,14.994,0.01,0.03,3.416,4.501
14.29,60.039,0.03,0.1,24.272,22.75
9.39,29.407,0.01,1.0,37.5544,11.6574
14.27,59.835,0.03,0.03,25.1583,22.2243
20.88,31.415,0.03,0.03,6.5995,9.4007
9.6,32.979,0.01,0.01,44.2278,13.3336
13.78,14.47,0.01,0.01,5.2486,4.1014
52.21,25.9195,0.03,1.0,5.1148,5.5463
33.63,10.7405,0.01,0.03,0.4446,3.1047
33.29,10.757,0.01,0.1,1.389,2.839
89.42,9.038,0.01,0.1,1.108,1.6752
98.08,12.621,0.01,1.0,1.131,0.384
52.67,25.6755,0.03,0.1,4.8195,8.0715
54.34,26.4255,0.03,0.3,1.2133,7.9464
89.45,11.3125,0.01,0.3,0.1935,0.7699
89.86,9.101,0.01,0.03,0.2553,2.6864
144.05,25.8765,0.03,1.0,2.7903,0.8591
32.85,10.313,0.01,0.01,1.9017,2.9081
52.03,25.89,0.03,0.03,3.2776,8.5842
85.42,8.659,0.01,0.01,1.0454,2.6271
151.55,25.391,0.03,0.1,0.3963,4.2533
139.04,22.6335,0.03,0.3,4.2849,3.5999
286.34,11.3225,0.01,0.3,1.2625,0.6375
336.99,13.618,0.01,1.0,0.0662,1.1003
287.65,9.002,0.01,0.1,0.091,1.385
21.27,33.9205,0.03,0.01,6.9601,10.2975
13.35,58.49,0.03,0.01,24.7234,19.7107
267.76,7.741,0.01,0.03,0.8639,0.158
137.3,21.9865,0.03,0.03,4.0151,4.0005
256.77,7.3505,0.01,0.01,1.3165,0.2086
13.28,14.631,0.01,0.003,5.1306,4.2743
9.02,31.9695,0.01,0.003,51.4269,12.2844
510.5,28.509,0.03,1.0,0.1122,0.5619
458.53,22.563,0.03,0.3,0.167,0.1892
461.27,21.742,0.03,0.1,3.801,0.288
990.17,13.652,0.01,1.0,0.0372,0.066
52.65,24.4965,0.03,0.01,4.7811,7.9782
840.88,11.3375,0.01,0.3,1.2307,0.0775
459.98,21.7935,0.03,0.03,0.1761,0.2761
861.89,9.015,0.01,0.1,0.043,0.0662
807.64,7.72,0.01,0.03,0.0553,0.067
32.18,10.3695,0.01,0.003,1.8408,2.9286
86.22,8.674,0.01,0.003,1.0983,2.6878
1507.64,28.5575,0.03,1.0,0.0695,0.0678
784.07,7.276,0.01,0.01,0.0573,0.082
1356.14,22.5975,0.03,0.3,0.0607,0.0775
1373.09,21.7345,0.03,0.1,2.2905,0.086
142.79,24.27,0.03,0.01,0.3717,6.5015
3281.58,13.66,0.01,1.0,0.0252,0.028
1368.67,21.813,0.03,0.03,0.07,0.0879
2793.7,11.3485,0.01,0.3,1.2117,0.0355
2879.67,9.022,0.01,0.1,0.0232,0.0273
259.06,7.367,0.01,0.003,1.349,0.3054
2684.0,7.724,0.01,0.03,0.022,0.028
