bin_width_ms,median_mvt_ms,width,peak_time_ratio,mvt_err_upper,mvt_err_lower
0.002,0.169,0.3,0.5,0.003,0.001
0.01,-100.0,0.3,0.5,0.0,0.0
0.02,-100.0,0.5,0.2,0.0,0.0
0.001,0.147,0.3,0.5,0.002,0.001
0.01,0.351,0.5,0.2,0.002,0.001
0.002,0.25,0.5,0.5,0.003,0.003
0.005,0.35,0.5,0.5,0.001,0.002
0.02,-100.0,0.5,0.5,0.0,0.0
0.005,-100.0,0.3,0.5,0.0,0.0
0.005,0.263,0.5,0.2,0.006,0.003
0.001,0.151,0.5,0.2,0.0052,0.005
0.01,-100.0,0.5,0.5,0.0,0.0
0.0005,0.111,0.3,0.5,0.014,0.002
0.002,0.208,0.5,0.2,0.003,0.019
0.0005,0.171,0.5,0.5,0.009,0.016
0.001,0.211,0.5,0.5,0.002,0.001
0.0002,0.088,0.3,0.5,0.0012,0.002
0.0005,0.1215,0.5,0.2,0.0045,0.0185
0.0002,0.085,0.5,0.2,0.016,0.012
0.0002,0.125,0.5,0.5,0.003,0.0053
0.0001,0.073,0.5,0.2,0.013,0.012
0.0001,0.074,0.3,0.5,0.012,0.0125
0.0001,0.105,0.5,0.5,0.02,0.019
0.02,-100.0,0.5,0.8,0.0,0.0
0.05,-100.0,1.0,0.2,0.0,0.0
0.005,0.263,0.5,0.8,0.005,0.003
0.002,0.208,0.5,0.8,0.003,0.019
0.002,0.301,1.0,0.2,0.007,0.006
0.01,0.351,0.5,0.8,0.002,0.002
0.02,0.702,1.0,0.2,0.003,0.002
0.001,0.15,0.5,0.8,0.006,0.004
0.005,0.434,1.0,0.2,0.006,0.039
0.0002,0.0845,0.5,0.8,0.0155,0.0135
0.0005,0.176,1.0,0.2,0.006,0.0202
0.0005,0.111,0.5,0.8,0.016,0.008
0.01,0.525,1.0,0.2,0.005,0.0042
0.001,0.217,1.0,0.2,0.034,0.009
0.01,0.699,1.0,0.5,0.002,0.002
