MVT_snr,median_mvt_ms,width,bin_width_ms,mvt_err_upper,mvt_err_lower
18.9,29.041,0.1,1.0,2.937,8.0993
27.93,64.001,0.3,1.0,12.7149,26.7127
11.35,44.057,0.1,1.0,19.3056,13.7943
17.89,26.836,0.1,0.3,5.8314,7.61
18.58,105.319,0.3,1.0,25.526,33.589
11.65,44.814,0.1,0.3,18.7799,16.3572
18.29,25.898,0.1,0.1,5.3984,7.7892
11.24,43.812,0.1,0.1,19.5987,13.4485
18.52,105.055,0.3,0.3,24.3282,39.8937
28.1,64.656,0.3,0.3,13.3126,27.353
17.66,101.574,0.3,0.1,26.2175,39.9914
18.36,26.297,0.1,0.03,5.3111,7.7875
28.66,61.5355,0.3,0.1,19.5299,24.2439
11.28,43.881,0.1,0.03,20.2068,13.2559
17.71,101.8125,0.3,0.03,26.3644,38.2725
10.93,42.9625,0.1,0.01,24.0195,13.2125
18.87,28.269,0.1,0.01,5.8256,8.7069
28.81,61.874,0.3,0.03,13.9237,24.3266
44.05,23.223,0.1,1.0,2.4586,8.1878
42.27,19.813,0.1,0.3,3.7666,5.0331
44.2,20.384,0.1,0.1,3.9076,6.0462
70.52,53.3465,0.3,1.0,10.6098,24.1412
73.79,54.1165,0.3,0.3,10.8313,27.8637
41.72,18.527,0.1,0.03,5.9588,5.5778
71.09,50.7655,0.3,0.1,10.7521,24.5937
120.35,18.1495,0.1,1.0,5.5735,3.6221
43.69,20.302,0.1,0.01,4.3232,6.5816
121.17,19.097,0.1,0.3,2.3658,6.1668
120.07,18.101,0.1,0.1,2.502,7.124
71.99,51.043,0.3,0.03,10.8653,24.206
111.41,15.493,0.1,0.03,5.0164,5.2336
17.44,98.645,0.3,0.01,35.2158,32.5659
27.86,58.952,0.3,0.01,19.4396,19.5252
185.75,43.3195,0.3,1.0,10.3517,18.0174
187.02,44.495,0.3,0.3,9.9247,24.0553
179.13,41.159,0.3,0.1,9.8252,20.0702
18.94,28.3995,0.1,0.003,5.5459,8.9633
117.27,17.07,0.1,0.01,3.5541,7.0618
383.94,17.95,0.1,1.0,2.038,3.0153
372.11,16.134,0.1,0.3,3.075,2.8814
343.9,14.8855,0.1,0.1,3.2357,6.242
186.9,41.772,0.3,0.03,9.6914,20.8134
10.99,42.546,0.1,0.003,24.9353,12.3617
323.74,12.553,0.1,0.03,2.787,5.0934
70.42,48.346,0.3,0.01,10.5398,22.7664
553.39,35.718,0.3,1.0,8.1367,9.8396
620.72,44.0145,0.3,0.3,1.1169,22.2301
555.61,34.029,0.3,0.1,8.0476,9.2453
350.07,13.993,0.1,0.01,3.0806,6.6494
1137.24,17.909,0.1,1.0,1.909,0.269
43.65,20.2955,0.1,0.003,4.4185,6.8301
549.73,34.866,0.3,0.03,7.7418,9.8546
1099.71,16.0505,0.1,0.3,1.9427,0.2963
1044.44,14.819,0.1,0.1,0.3033,5.9019
984.86,12.301,0.1,0.03,2.7638,3.6084
117.42,17.1,0.1,0.003,3.7049,8.1318
180.28,39.594,0.3,0.01,8.957,18.986
1658.76,35.6575,0.3,1.0,7.8285,0.5451
931.37,11.5745,0.1,0.01,2.6009,3.2135
1849.93,43.942,0.3,0.3,0.7356,17.8308
1655.19,34.051,0.3,0.1,3.5314,4.2056
1594.9,34.688,0.3,0.03,7.2104,4.2112
570.05,38.84,0.3,0.01,8.8782,15.453
3767.36,17.8965,0.1,1.0,0.1038,0.1058
3643.2,16.0375,0.1,0.3,0.1314,0.1078
344.35,14.107,0.1,0.003,3.0818,6.8451
3461.34,14.8245,0.1,0.1,0.1355,0.1365
3281.41,12.268,0.1,0.03,0.158,3.2678
3025.11,11.5295,0.1,0.01,2.3763,1.3265
5495.01,35.7015,0.3,1.0,0.3008,0.3446
6121.49,44.2085,0.3,0.3,0.2675,17.7645
5234.52,30.654,0.3,0.1,10.6035,0.4832
965.18,11.682,0.1,0.003,2.6327,3.7931
5231.1,34.6055,0.3,0.03,7.2364,3.7951
1663.06,35.626,0.3,0.01,3.7188,6.9361
11297.16,17.902,0.1,1.0,0.0692,0.057
10938.39,16.0495,0.1,0.3,0.0768,0.0767
10350.87,14.8345,0.1,0.1,0.0825,0.0847
9806.2,12.2955,0.1,0.03,0.0868,0.1025
9196.15,10.542,0.1,0.01,3.4092,0.2668
3190.55,11.664,0.1,0.003,2.4252,1.3558
16521.08,35.6665,0.3,1.0,0.2021,0.1847
11.64,44.804,0.1,0.001,20.5116,12.8765
5607.46,38.9075,0.3,0.01,0.4785,9.9219
18351.88,44.197,0.3,0.3,0.1895,17.5136
27.71,59.181,0.3,0.003,19.4596,20.6416
15728.97,30.565,0.3,0.1,0.2602,0.2062
44.05,19.408,0.1,0.001,4.2582,7.7776
70.83,48.818,0.3,0.003,10.4208,23.3618
17.33,99.226,0.3,0.003,35.53,32.4638
17.54,27.367,0.1,0.001,5.626,8.365
15898.17,31.441,0.3,0.03,3.3776,0.4516
9565.13,11.669,0.1,0.003,2.4056,1.285
16348.65,39.107,0.3,0.01,0.193,4.034
182.12,39.742,0.3,0.003,9.2189,19.9112
114.71,16.275,0.1,0.001,3.4234,7.0628
343.79,13.304,0.1,0.001,2.9387,6.5167
561.89,39.2385,0.3,0.003,8.7608,15.7669
968.63,13.071,0.1,0.001,1.5308,5.3014
1632.72,35.807,0.3,0.003,3.876,6.859
3109.66,11.936,0.1,0.001,1.3012,2.2752
5449.51,35.7785,0.3,0.003,3.9695,6.5342
9382.91,11.92,0.1,0.001,1.325,2.1805
17226.49,39.488,0.3,0.003,0.1774,9.9334
28.36,64.926,0.3,0.001,14.182,27.0234
17.54,101.205,0.3,0.001,29.4024,36.8649
73.53,54.017,0.3,0.001,7.7502,25.4121
176.06,37.8625,0.3,0.001,8.4303,18.1656
564.34,37.164,0.3,0.001,8.2511,13.4274
1713.94,36.784,0.3,0.001,0.7399,9.6639
5665.35,36.99,0.3,0.001,0.4232,3.9489
16817.67,37.1275,0.3,0.001,0.2077,3.838
1991.75,0.69,3.0,0.001,0.047,0.065
660.31,0.688,3.0,0.001,0.0512,0.068
25.57,1.0255,3.0,0.001,0.1901,0.1925
10.11,1.4115,3.0,0.001,0.3333,0.3648
215.7,0.731,3.0,0.001,0.083,0.1223
80.39,0.854,3.0,0.001,0.0328,0.161
3.27,2.935,3.0,0.001,1.0866,0.644
4.59,1.999,3.0,0.001,1.9681,0.5467
3.25,2.342,3.0,0.0003,0.406,1.1886
72.9,0.755,3.0,0.0003,0.136,0.1539
4.11,1.827,3.0,0.0003,1.8445,0.3283
634.59,0.5195,3.0,0.0003,0.1035,0.1075
1953.07,0.514,3.0,0.0003,0.012,0.09
25.22,1.021,3.0,0.0003,0.2022,0.2818
209.26,0.625,3.0,0.0003,0.121,0.1257
10.08,1.4105,3.0,0.0003,0.3209,0.3845
10.27,1.37,3.0,0.0001,0.3364,0.3799
71.74,0.813,3.0,0.0001,0.0367,0.2324
4.32,1.893,3.0,0.0001,1.273,0.341
198.09,0.5915,3.0,0.0001,0.1185,0.119
