sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,195,105,51.722,15.6749,20.2672,60.137,23.2012,31.9918,78.42,264.58,-999,-999,-999,-999,1000.99,12.51,-999,4.82,-999,-999,-999,-999,3.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.03
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,25,275,20.956,10.8941,8.6659,52.2325,29.8283,59.9868,11.28,29.96,-999,-999,-999,-999,1002.21,6.77,-999,2.05,-999,-999,-999,-999,2.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,113,187,29.364,8.5781,31.6505,75.072,50.288,149.386,35.01,100.78,-999,-999,-999,-999,996.56,8.98,-999,3.48,-999,-999,-999,-999,3.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.01
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,194,106,79.1135,23.823,43.0534,91.756,34.965,56.8945,204.75,799.94,-999,-999,-999,-999,1000.51,16.99,-999,7.24,-999,-999,-999,-999,3.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.1
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,25,275,20.027,11.0083,6.6857,40.303,21.7789,83.3658,11.4,29.6,-999,-999,-999,-999,989.41,6.67,-999,2.09,-999,-999,-999,-999,2.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,17,283,16.88,7.2633,40.0188,98.8195,75.9845,240.0867,16.06,38.71,-999,-999,-999,-999,1024.13,6.52,-999,2.57,-999,-999,-999,-999,2.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.003
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,192,108,78.59,22.1677,32.1978,90.3645,29.0671,56.0861,205.28,799.01,-999,-999,-999,-999,999.33,16.93,-999,7.26,-999,-999,-999,-999,3.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.1
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,104,196,29.3145,8.1315,31.1,77.798,52.3216,150.1059,34.76,100.68,-999,-999,-999,-999,995.66,8.97,-999,3.46,-999,-999,-999,-999,3.05,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.01
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,10,290,17.405,7.0354,12.3884,141.743,102.8738,234.6062,15.3,39.3,-999,-999,-999,-999,1038.58,7.05,-999,2.42,-999,-999,-999,-999,2.73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.003
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,194,106,84.4,25.0474,35.3586,92.1045,31.5235,54.0962,205.34,798.74,-999,-999,-999,-999,999.02,17.81,-999,7.27,-999,-999,-999,-999,3.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.1
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,193,107,52.132,16.6075,20.5478,61.438,24.3842,35.0588,78.53,264.37,-999,-999,-999,-999,1000.18,12.51,-999,4.83,-999,-999,-999,-999,3.24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.03
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,19,281,15.885,6.9153,37.5369,96.1815,74.7283,240.2849,16.63,38.42,-999,-999,-999,-999,1015.19,6.68,-999,2.67,-999,-999,-999,-999,2.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.003
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,16,284,16.058,5.3706,14.2592,130.692,102.2562,196.7356,16.06,38.75,-999,-999,-999,-999,1024.4,6.94,-999,2.57,-999,-999,-999,-999,2.89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.003
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,101,199,29.296,7.856,30.668,77.0515,51.3394,155.5274,34.77,100.63,-999,-999,-999,-999,995.11,8.96,-999,3.46,-999,-999,-999,-999,3.02,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.01
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,111,189,27.801,8.5466,21.859,75.557,50.0022,141.6995,34.87,100.96,-999,-999,-999,-999,998.2,9.59,-999,3.47,-999,-999,-999,-999,3.05,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.01
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,19,281,17.741,8.6586,15.8122,144.028,116.751,200.827,16.21,38.37,-999,-999,-999,-999,1014.29,7.1,-999,2.6,-999,-999,-999,-999,2.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.003
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,192,108,51.3795,14.8136,20.7457,60.568,23.2254,31.9828,78.41,264.58,-999,-999,-999,-999,1000.96,12.52,-999,4.82,-999,-999,-999,-999,3.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.03
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,102,198,28.69,8.2844,29.8949,76.458,51.449,139.6294,34.93,101.02,-999,-999,-999,-999,998.94,9.07,-999,3.47,-999,-999,-999,-999,3.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.01
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,188,112,52.9975,15.6822,20.2237,62.555,23.9799,45.7802,78.4,264.4,-999,-999,-999,-999,1000.33,12.62,-999,4.82,-999,-999,-999,-999,3.23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.03
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,193,107,84.723,25.6717,35.2048,89.9685,28.8691,56.3539,205.11,799.36,-999,-999,-999,-999,999.8,17.85,-999,7.26,-999,-999,-999,-999,3.58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.1
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,193,107,49.811,13.7228,20.0603,58.183,19.2383,35.0598,78.6,264.34,-999,-999,-999,-999,1000.06,12.81,-999,4.83,-999,-999,-999,-999,3.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.03
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,18,282,17.0365,8.3564,40.2103,93.2595,70.1592,227.2698,16.44,38.67,-999,-999,-999,-999,1022.95,6.63,-999,2.63,-999,-999,-999,-999,2.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.003
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,193,107,82.928,27.2436,33.3645,93.7335,34.0579,54.5551,205.01,798.83,-999,-999,-999,-999,999.13,17.6,-999,7.25,-999,-999,-999,-999,3.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,0.1
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,24,276,19.804,12.1,7.438,38.042,20.2598,67.193,11.58,29.38,-999,-999,-999,-999,982.53,6.63,-999,2.12,-999,-999,-999,-999,2.56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
