sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,gaussian,10.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,210,90,142.3245,41.0929,30.5419,142.49,58.2062,35.8126,250.9,598.93,-999,-999,-999,-999,999.1,22.87,-999,10.25,-999,-999,-999,-999,3.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,3.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,172,128,227.8735,41.5127,42.0915,224.776,98.8552,47.0775,2259.74,1798.34,-999,-999,-999,-999,999.38,57.65,-999,53.28,-999,-999,-999,-999,6.91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,10.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,189,111,744.305,9.7794,138.8105,740.158,443.1212,59.68,7518.66,5997.61,-999,-999,-999,-999,999.69,107.11,-999,97.08,-999,-999,-999,-999,7.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
function,gaussian,10.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,198,102,309.2995,76.5913,73.1746,309.7995,104.2105,80.931,751.7,1798.82,-999,-999,-999,-999,999.65,33.97,-999,17.72,-999,-999,-999,-999,4.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,219,81,132.005,38.7602,43.8089,148.4055,50.6379,50.8837,251.27,598.87,-999,-999,-999,-999,999.01,21.08,-999,10.26,-999,-999,-999,-999,3.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.3,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,209,91,90.674,25.926,17.6246,90.737,29.3077,19.5017,754.39,598.62,-999,-999,-999,-999,998.5,37.03,-999,30.82,-999,-999,-999,-999,6.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,1.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,212,88,89.1955,26.1435,18.275,89.035,28.0226,19.8964,753.51,598.76,-999,-999,-999,-999,998.72,35.42,-999,30.78,-999,-999,-999,-999,6.58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,3.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,206,94,92.2405,20.1799,19.2995,91.803,30.7862,20.7307,752.77,598.78,-999,-999,-999,-999,998.76,35.99,-999,30.75,-999,-999,-999,-999,6.57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,3.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,190,110,765.8505,10.1451,9.5809,760.667,447.2987,14.4556,7518.18,5997.83,-999,-999,-999,-999,999.73,108.24,-999,97.07,-999,-999,-999,-999,7.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
function,gaussian,3.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,221,79,134.269,41.3316,42.1224,142.393,47.4655,47.0095,251.08,599.21,-999,-999,-999,-999,999.57,22.23,-999,10.25,-999,-999,-999,-999,3.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,217,83,134.487,40.9801,41.6496,148.5005,48.4911,44.2892,251.44,598.98,-999,-999,-999,-999,999.2,22.29,-999,10.27,-999,-999,-999,-999,3.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
