sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,triangular,10.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,194,106,177.459,39.368,58.9678,176.481,94.4266,62.0219,1504.0,998.11,-999,-999,-999,-999,998.53,47.64,-999,47.6,-999,-999,-999,-999,6.63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,10.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,206,94,253.9215,77.1055,54.4907,252.23,90.5186,59.6755,500.1,999.02,-999,-999,-999,-999,999.45,29.05,-999,15.82,-999,-999,-999,-999,3.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,10.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,175,125,1793.845,891.5182,363.8249,1769.6895,1002.7026,386.402,4995.4,9998.07,-999,-999,-999,-999,999.85,80.09,-999,49.96,-999,-999,-999,-999,4.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,10.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,197,103,1477.632,740.9536,317.8579,1336.759,898.7302,450.1977,14997.93,9996.6,-999,-999,-999,-999,999.7,143.95,-999,150.0,-999,-999,-999,-999,7.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,3.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,178,122,635.533,293.9994,127.7962,626.394,302.0043,148.5304,1503.25,2997.72,-999,-999,-999,-999,999.36,46.64,-999,27.45,-999,-999,-999,-999,4.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,3.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,207,93,258.376,90.929,47.3405,262.6115,102.6383,63.3528,500.77,999.58,-999,-999,-999,-999,1000.02,29.93,-999,15.84,-999,-999,-999,-999,3.81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,198,102,189.9055,81.4229,35.6011,187.8625,94.2444,38.6685,1503.89,999.16,-999,-999,-999,-999,999.6,49.79,-999,47.57,-999,-999,-999,-999,6.63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,177,123,535.713,308.453,11.9244,436.6155,253.7959,111.0579,4501.74,2995.84,-999,-999,-999,-999,998.75,84.08,-999,82.24,-999,-999,-999,-999,6.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,10.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,177,123,525.58,241.0667,14.6969,427.737,246.9438,112.6828,4502.58,2995.96,-999,-999,-999,-999,998.78,82.39,-999,82.26,-999,-999,-999,-999,6.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,3.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,201,99,1474.158,425.579,329.196,1147.1175,700.3911,366.9679,15002.2,9996.41,-999,-999,-999,-999,999.68,144.39,-999,150.05,-999,-999,-999,-999,7.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
