sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,padding,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower_ms,mvt_err_upper_ms,all_median_mvt_ms,all_mvt_err_lower_ms,all_mvt_err_upper_ms,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,sigma_feature,center_time_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,complex_pulse_short,0.01,0.02,0.01,2,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,173,127,96.993,29.6106,33.5995,106.0205,35.8697,71.8986,-999,8001.83,10341.38,10341.23,0.15,71.75,1000.23,52.24,36.73,-999,115.61,115.61,0.02,0.02,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,0.1,0.01,10,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,183,117,55.359,17.2686,21.1863,57.856,19.374,26.0474,-999,7984.63,51759.3,51758.49,0.81,285.31,998.08,168.49,112.41,-999,579.27,579.26,0.07,0.05,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,1,1,1,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,147,153,136.616,43.1474,91.2382,185.358,73.8775,113.4559,-999,7998.54,5186.01,5178.73,7.29,44.48,999.82,36.77,31.18,-999,57.99,57.91,1.34,1.1,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,40,4,10,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,238,62,3.942,1.0068,0.9953,4.217,1.2388,1.5478,-999,7996.12,52071.01,51769.91,301.11,284.46,999.51,96.93,95.04,-999,582.34,578.97,25.96,17.87,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,200,4,50,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,284,16,3.001,0.7584,0.425,3.012,0.5898,0.6083,-999,7999.89,260286.91,258784.4,1502.51,18.16,999.99,332.77,332.77,-999,2910.25,2893.45,61.32,360.37,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,6,3,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,139,161,92.824,39.3657,26.6449,101.0625,37.9431,76.0817,-999,7994.91,10377.6,10333.56,44.04,17.96,999.36,51.2,14.34,-999,116.07,115.57,6.86,10.65,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,20,2,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,78,222,49.3855,39.1313,21.5211,46.4105,23.2815,32.6047,-999,7990.56,51857.63,51709.79,147.83,16.71,998.82,159.72,27.82,-999,580.16,578.5,12.75,36.89,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,10,2,5,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,132,168,66.473,19.7443,18.523,71.712,24.5018,35.9025,-999,7986.17,25944.24,25870.31,73.93,18.52,998.27,96.5,17.3,-999,290.33,289.5,8.47,17.6,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,15,5,3,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,207,93,4.978,1.2518,1.2452,5.366,1.2255,4.9212,-999,7998.61,15650.83,15537.19,113.64,97.77,999.83,37.4,36.61,-999,175.01,173.74,15.61,11.54,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,0.1,0.01,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,183,117,55.359,17.2732,21.193,58.34,19.9196,25.5273,-999,7984.63,51759.3,51758.49,0.81,16.98,998.08,168.49,7.54,-999,579.27,579.26,0.07,0.2,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,2,2,1,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,137,163,132.17,50.4671,92.3118,176.8445,69.2261,119.0476,-999,7994.5,5187.64,5172.72,14.92,43.88,999.31,36.08,28.28,-999,58.02,57.85,2.74,2.26,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,150,3,50,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,258,42,3.534,0.9534,0.7219,3.5795,0.9533,0.759,-999,7998.8,259919.12,258791.94,1127.19,18.31,999.85,266.57,266.57,-999,2906.34,2893.73,46.0,269.1,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
