sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,padding,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower_ms,mvt_err_upper_ms,all_median_mvt_ms,all_mvt_err_lower_ms,all_mvt_err_upper_ms,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,sigma_feature,center_time_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,complex_pulse_short,0.1,0.01,0.01,1,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,161,139,144.83,47.0564,93.2294,184.2315,68.8814,119.654,-999,7998.12,5177.4,5177.33,0.07,18.06,999.76,37.81,12.11,-999,57.89,57.89,0.01,0.02,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,3,1,3,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,154,146,72.825,22.3948,26.1367,84.2875,26.8034,53.9086,-999,7999.53,15549.25,15527.0,22.25,96.68,999.94,64.27,50.84,-999,173.86,173.61,3.06,2.27,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,2,1,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,168,132,97.413,30.6459,28.5403,105.4595,33.8158,76.8143,-999,7996.14,10358.1,10343.32,14.78,18.38,999.52,52.47,11.57,-999,115.84,115.67,2.3,3.53,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.03,0.01,3,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,172,128,81.1275,23.2201,22.277,89.228,27.7662,51.9898,-999,7994.48,15535.73,15535.54,0.19,97.98,999.31,67.36,51.56,-999,173.76,173.76,0.03,0.02,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.04,0.01,4,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,173,127,72.275,20.6894,24.5263,82.344,25.6417,46.3296,-999,8005.66,20696.28,20695.98,0.3,18.46,1000.71,82.31,8.56,-999,231.32,231.32,0.04,0.07,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,5,1,5,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,143,157,60.883,20.6185,22.4725,69.7705,26.4604,36.0927,-999,7988.33,25911.88,25875.0,36.88,150.28,998.54,92.76,73.34,-999,289.93,289.51,4.22,3.02,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,1,1,1,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,162,138,144.8915,48.2006,91.4018,179.713,65.4484,121.6042,-999,7997.12,5184.77,5177.43,7.34,17.97,999.64,37.82,12.71,-999,57.98,57.9,1.35,1.77,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,5,1,5,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,175,125,69.924,20.574,17.8454,72.8765,22.1705,42.5515,-999,7998.53,25915.69,25878.9,36.79,18.44,999.82,98.71,12.9,-999,289.78,289.37,4.21,8.75,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.02,0.01,2,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,174,126,97.754,35.1528,28.0942,104.346,32.389,76.5262,-999,7996.31,10346.4,10346.25,0.14,71.43,999.54,52.67,38.61,-999,115.71,115.71,0.02,0.02,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,10,1,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,171,129,56.977,22.2474,15.7528,58.18,22.3747,28.1993,-999,7985.99,51822.15,51747.84,74.31,17.02,998.25,170.71,17.29,-999,579.92,579.09,6.41,18.36,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.04,0.01,4,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,173,127,72.275,20.6514,24.5263,82.344,25.9249,46.3296,-999,8005.66,20696.28,20695.98,0.3,124.87,1000.71,82.31,59.24,-999,231.32,231.32,0.04,0.03,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.01,0.01,1,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,161,139,144.553,46.7794,93.5064,184.2315,68.8064,119.654,-999,7998.12,5177.4,5177.33,0.07,44.97,999.76,37.77,30.97,-999,57.89,57.89,0.01,0.01,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,4,1,4,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,150,150,64.165,23.2638,20.7051,74.973,26.4848,47.2633,-999,8007.29,20724.31,20694.47,29.84,123.31,1000.91,77.88,60.73,-999,231.61,231.28,3.71,2.7,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.05,0.01,5,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,180,120,69.943,19.9797,18.6366,74.0515,23.0776,38.2075,-999,7998.14,25877.74,25877.41,0.33,151.48,999.77,98.69,70.49,-999,289.37,289.36,0.04,0.03,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,10,1,10,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,97,203,40.753,29.7471,27.1361,49.698,19.3963,38.1476,-999,7983.84,51829.35,51755.27,74.08,284.38,997.98,146.13,101.26,-999,580.08,579.25,6.39,4.4,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,4,1,4,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,166,134,72.43,21.4082,23.6492,80.247,24.6296,45.9624,-999,8006.28,20725.67,20695.61,30.05,18.43,1000.79,82.39,11.99,-999,231.64,231.3,3.74,7.17,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.1,0.02,0.01,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,174,126,97.754,35.1528,28.0942,104.7685,32.8186,76.1037,-999,7996.31,10346.4,10346.25,0.14,18.35,999.54,52.67,10.14,-999,115.71,115.71,0.02,0.03,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
